Transaction_ID,Product
1,"milk,bread,butter"
2,"bread,diapers,beer,eggs"
3,"milk,diapers,beer,cola"
4,"bread,milk,diapers,beer"
5,"bread,milk,butter"
6,"milk,butter,bread,diapers"
7,"diapers,cola,bread"
8,"milk,bread,eggs,butter"
9,"bread,butter,beer"
10,"milk,bread,butter,eggs"
11,"diapers,beer,cola"
12,"bread,beer,butter"
13,"milk,butter,bread,cola"
14,"bread,beer,diapers,butter"
15,"milk,bread,beer"
16,"diapers,butter,beer,eggs"
17,"milk,eggs,bread"
18,"bread,butter,cola,diapers"
19,"milk,diapers,beer"
20,"bread,milk,butter,diapers"
21,"eggs,cola,bread"
22,"milk,butter,beer"
23,"bread,eggs,diapers"
24,"beer,bread,milk"
25,"butter,diapers,milk"
26,"cola,bread,butter"
27,"milk,bread,butter,beer"
28,"eggs,diapers,bread"
29,"milk,butter,cola"
30,"bread,beer,butter"
31,"milk,bread,eggs,diapers"
32,"beer,diapers,milk"
33,"butter,eggs,bread"
34,"milk,beer,diapers,butter"
35,"bread,cola,diapers"
36,"eggs,butter,milk"
37,"bread,butter,beer"
38,"milk,diapers,butter,eggs"
39,"bread,butter,cola"
40,"milk,beer,bread"
41,"diapers,cola,eggs"
42,"bread,butter,beer,eggs"
43,"milk,cola,diapers"
44,"bread,butter,milk"
45,"eggs,bread,butter"
46,"milk,bread,beer"
47,"bread,diapers,butter"
48,"milk,eggs,butter"
49,"bread,butter,diapers"
50,"milk,beer,bread"
51,"eggs,butter,diapers"
52,"bread,milk,cola"
53,"butter,beer,eggs"
54,"bread,diapers,butter,beer"
55,"milk,butter,bread"
56,"beer,cola,diapers"
57,"bread,butter,milk"
58,"eggs,butter,beer"
59,"milk,cola,butter"
60,"bread,butter,diapers"
61,"diapers,beer,bread"
62,"milk,butter,eggs"
63,"bread,cola,eggs"
64,"beer,butter,diapers"
65,"milk,beer,eggs"
66,"bread,butter,milk"
67,"eggs,beer,butter"
68,"milk,diapers,cola"
69,"bread,eggs,butter"
70,"milk,butter,beer"
71,"bread,diapers,milk"
72,"beer,butter,eggs"
73,"milk,bread,cola"
74,"bread,eggs,butter"
75,"milk,beer,diapers"
76,"bread,butter,cola"
77,"beer,eggs,milk"
78,"bread,diapers,cola"
79,"milk,eggs,beer"
80,"bread,butter,beer"
81,"milk,cola,diapers"
82,"bread,eggs,butter"
83,"beer,diapers,milk"
84,"milk,butter,beer"
85,"bread,diapers,butter"
86,"milk,eggs,butter"
87,"bread,cola,eggs"
88,"beer,butter,diapers"
89,"milk,bread,beer"
90,"bread,eggs,butter"
91,"milk,diapers,cola"
92,"bread,beer,eggs"
93,"milk,butter,diapers"
94,"bread,butter,cola"
95,"beer,eggs,milk"
96,"bread,diapers,butter"
97,"milk,bread,butter"
98,"bread,butter,beer"
99,"milk,diapers,butter"
100,"bread,milk,beer"
